,JobNum,RunNum,ComputeNodeType,NumComputeNodes,ComputeNodeCost,BigMemNodeType,NumBigMemNodes,BigMemNodeCost,GPUNodeType,NumGPUNodes,GPUNodeCost,TotalMem,TotalCPUs,TotalGPUs,AvgQueueTime,AvgTurnaroundTime,AvgCPUsInUse,AvgCPUsInUsePercent,AvgGPUsInUse,AvgGPUsInUsePercent,AvgMemInUse,AvgMemInUsePercent,ElapsedSimulationSeconds,JobsTimedOut,JobsFailed,JobsCompleted,JobsTotal
0,8945387,50,ComputeNode2,11,8178,BigMemNode1,39,11112,GPUNode12,12,39360,48640000000,1488,96,601.3,3591.77,21.200734294277417,1.4247805305293963,6.974734865595175,7.265348818328307,150.11455687137507,0.30862367777832045,3444667,8960,19,15773,24752
1,8945387,201,ComputeNode3,30,8298,BigMemNode1,4,11112,GPUNode8,30,23480,19456000000,2736,120,1881.46,4871.73,38.927669648232936,1.4227949432833675,6.891599131317518,5.742999276097931,148.3183401945805,0.7623269952435263,3486198,8949,19,15784,24752
2,8945387,116,ComputeNode4,7,9516,BigMemNode1,33,11112,GPUNode8,24,23480,43520000000,1816,96,4201.56,7129.06,22.601071164214485,1.2445523768840574,7.090795141836143,7.3862449394126495,152.60746943342374,0.3506605455731244,3388275,8958,15,15779,24752
3,8945387,81,ComputeNode1,1,6960,BigMemNode2,23,12450,GPUNode8,30,23480,31488000000,2216,120,284.93,3285.53,39.24003001536911,1.7707594772278477,6.891553989514126,5.742961657928438,148.31204345530878,0.4710113168677236,3486213,8929,19,15804,24752
4,8945387,388,ComputeNode2,25,8178,BigMemNode2,11,12450,GPUNode8,28,23480,31232000000,1976,112,327.09,3324.19,35.14479792349283,1.7785828908650219,7.559839762318091,6.749856930641153,162.69414711319683,0.5209213214433812,3178028,8931,20,15801,24752
5,8945387,359,ComputeNode2,39,8178,BigMemNode1,11,11112,GPUNode12,14,39360,34816000000,1536,112,188.4,3188.93,30.853193866524137,2.008671475685165,8.000850521085697,7.143616536683658,172.18217800683868,0.4945489947347159,3002864,8931,16,15805,24752
6,8945387,325,ComputeNode4,40,9516,,-1,-1,GPUNode8,26,23480,27136000000,3184,104,1305.33,4292.11,43.05862912510771,1.352343879557403,7.372433123114351,7.088878002994568,158.66703999111516,0.584710495250277,3258823,8945,19,15788,24752
7,8945387,322,ComputeNode4,24,9516,,-1,-1,GPUNode4,52,14730,25600000000,2784,104,379.49,3380.09,55.91581848759747,2.008470491652208,8.826036532008672,8.486573588469877,189.94419676236188,0.7419695186029761,2722105,8926,19,15807,24752
8,8945387,57,ComputeNode2,7,8178,BigMemNode1,21,11112,GPUNode8,30,23480,32768000000,1392,120,4271.52,7213.22,15.160408706920455,1.089109820899458,7.109746768728972,5.92478897394081,153.0249849204407,0.4669951932386496,3379242,8976,15,15761,24752
9,8945387,206,ComputeNode2,8,8178,BigMemNode1,8,11112,GPUNode8,36,23480,21504000000,1248,144,3185.92,6127.39,13.223045050954557,1.0595388662623844,7.086208940820039,4.920978431125027,152.50891723114168,0.7092118546835086,3390471,8961,15,15776,24752
10,8945387,111,ComputeNode1,13,6960,BigMemNode1,18,11112,GPUNode8,30,23480,29440000000,1464,120,1584.0,4574.33,16.70229935033605,1.140867441962845,6.739411824108255,5.616176520090212,145.04520591668432,0.49268072661917234,3564919,8940,19,15793,24752
